ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),,
flo-redis,flo-redis-0003-002,cache.r4.2xlarge,ap-southeast-1a,4192298,20972269768,0,0,5,358528422,343285342,472468,432798,12.73333333,0,0,0,0,34673,0,34497,0,131926,534657,274838,120971,0,,
flo-redis,flo-redis-0003-003,cache.r4.2xlarge,ap-southeast-1c,4192307,20972143504,0,0,5,357614951,342399923,454895,419017,14.26904484,0,0,0,0,34477,0,34302,0,133289,529978,272780,120447,0,,
fraud-service-cache,fraud-service-cache-001,cache.r4.large,ap-southeast-1a,15713621,2748477768,13880,34277,84,9632020,8751739,78741,82299,2.616666667,0,2333880,0,47193,29964,0,3901,0,4,18064,0,31777,0,,
fraud-service-cache,fraud-service-cache-002,cache.r4.large,ap-southeast-1b,15713621,2747177896,96,0,5,5033842,329716487,80134,232616,0.700116686,0,2307251,0,874,437,0,4966,0,0,19181,0,14671,0,,
kong-rate-limit,kong-rate-limit-001,cache.r4.large,ap-southeast-1a,0,4850640,0,0,4,96362,1178838,613,1021,0.066722269,0,3264,0,0,0,0,0,0,0,0,0,0,0,,
kong-rate-limit,kong-rate-limit-002,cache.r4.large,ap-southeast-1b,0,4847600,0,0,5,96104,1116283,571,1025,0.083347225,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,marketing-comm,cache.r3.large,ap-southeast-1a,7277219,748270576,165462,160858,20,61548367,131989648,532989,530140,21.48333333,0,0,0,326321,211740,0,2,159084,0,203213,0,158708,0,,
meals-cache,meals-cache-001,cache.r3.large,ap-southeast-1a,206845,2275877928,49410,93,118,41429416,2293277135,666080,1564749,3.417236206,0,7529599,0,49411,0,0,198,0,0,344,0,49412,0,,
meals-cache,meals-cache-002,cache.r3.large,ap-southeast-1b,206845,2275103376,57457,112,77,46591612,2609881507,749891,1780489,3.883980663,0,0,0,57457,0,0,198,0,0,346,0,57457,0,,
,messaging-service-01,cache.m4.large,ap-southeast-1a,1,3759448,0,0,5,71524,1094369,427,830,0.08336112,0,0,0,0,0,0,0,0,0,60,0,60,0,,
oms-reminder-service,oms-reminder-service-001,cache.r4.2xlarge,ap-southeast-1a,62082561,29835564832,537571,2033,5,103227077,5169012,124239,63430,12.53542257,0,0,0,537976,0,0,480466,0,723137,722046,1086,387547,0,,
oms-reminder-service,oms-reminder-service-002,cache.r4.2xlarge,ap-southeast-1b,62081380,31048732040,741924,30067,9,127922617,357324457,289706,394588,54.3423904,0,94497671,0,756088,0,0,123694,0,791665,828999,154578,517866,0,,
platform-nemesis-v1,platform-nemesis-v1-001,cache.t2.micro,ap-southeast-1a,2,7174696,14,0,45,1144182,6346688,4728,4169,0.216666667,0,906995,0,14,1732,0,0,0,0,1720,0,0,0,,
platform-nemesis-v1,platform-nemesis-v1-002,cache.t2.micro,ap-southeast-1b,2,5830904,0,0,5,1049094,1146838,2030,1910,0.166694449,0,0,0,0,1720,0,0,0,0,1720,0,0,0,,
portal-config,portal-config-001,cache.m3.medium,ap-southeast-1a,203,12851704,375450,1,48,88863684,178550035,991089,965193,29.17152859,0,19625538,0,964835,0,0,589946,0,0,824,0,375450,0,,
portal-config,portal-config-002,cache.m3.medium,ap-southeast-1b,203,12853368,0,0,5,19537457,1205943,2767,1378,0.216775054,0,0,0,0,0,0,405,0,0,806,0,402,0,,
,portal-prod,cache.m3.medium,ap-southeast-1a,14,14183200,8646,10,37,36852848,2127083110,743758,342539,1.167055685,0,0,0,8646,0,0,0,0,0,111,0,8671,0,,
portal-prod5-v3,portal-prod5-v3-001,cache.r4.2xlarge,ap-southeast-1b,103900934,18580068200,319182,92085,6744,329289742,1151627748,876603,790389,17.38623104,0,265117293,0,411587,4716,0,221581,0,44720,225221,0,399197,0,,
portal-prod5-v3,portal-prod5-v3-002,cache.r4.2xlarge,ap-southeast-1a,103900973,18473129808,292831,44084,1886,316776884,10997480924,1001548,7631474,28.11198134,0,0,0,344930,128724,0,42824,0,74,67423,0,240183,0,,
